MPG;Weight;Horsepower;Displacement;Acceleration
25.8;2620.0;92.0;156.0;14.4
23.5;2725.0;110.0;173.0;12.6
30.0;2385.0;84.0;135.0;12.9
39.1;1755.0;58.0;79.0;16.9
39.0;1875.0;64.0;86.0;16.4
35.1;1760.0;60.0;81.0;16.1
32.3;2065.0;67.0;97.0;17.8
37.0;1975.0;65.0;85.0;19.4
37.7;2050.0;62.0;89.0;17.3
34.1;1985.0;68.0;91.0;16.0
34.7;2215.0;63.0;105.0;14.9
34.4;2045.0;65.0;98.0;16.2
29.9;2380.0;65.0;98.0;20.7
33.0;2190.0;74.0;105.0;14.2
33.7;2210.0;75.0;107.0;14.4
32.4;2350.0;75.0;108.0;16.8
32.9;2615.0;100.0;119.0;14.8
31.6;2635.0;74.0;120.0;18.3
28.1;3230.0;80.0;141.0;20.4
30.7;3160.0;76.0;145.0;19.6
25.4;2900.0;116.0;168.0;12.6
24.2;2930.0;120.0;146.0;13.8
22.4;3415.0;110.0;231.0;15.8
26.6;3725.0;105.0;350.0;19.0
20.2;3060.0;88.0;200.0;17.1
17.6;3465.0;85.0;225.0;16.6
28.0;2605.0;88.0;112.0;19.6
27.0;2640.0;88.0;112.0;18.6
34.0;2395.0;88.0;112.0;18.0
31.0;2575.0;85.0;112.0;16.2
29.0;2525.0;84.0;135.0;16.0
27.0;2735.0;90.0;151.0;18.0
24.0;2865.0;92.0;140.0;16.4
36.0;1980.0;74.0;105.0;15.3
37.0;2025.0;68.0;91.0;18.2
31.0;1970.0;68.0;91.0;17.6
38.0;2125.0;63.0;105.0;14.7
36.0;2125.0;70.0;98.0;17.3
36.0;2160.0;88.0;120.0;14.5
36.0;2205.0;75.0;107.0;14.5
34.0;2245.0;70.0;108.0;16.9
38.0;1965.0;67.0;91.0;15.0
32.0;1965.0;67.0;91.0;15.7
38.0;1995.0;67.0;91.0;16.2
25.0;2945.0;110.0;181.0;16.4
38.0;3015.0;85.0;262.0;17.0
26.0;2585.0;92.0;156.0;14.5
22.0;2835.0;112.0;232.0;14.7
32.0;2665.0;96.0;144.0;13.9
36.0;2370.0;84.0;135.0;13.0
27.0;2950.0;90.0;151.0;17.3
27.0;2790.0;86.0;140.0;15.6
44.0;2130.0;52.0;97.0;24.6
32.0;2295.0;84.0;135.0;11.6
28.0;2625.0;79.0;120.0;18.6
31.0;2720.0;82.0;119.0;19.4
